Assessor Parcel Number,Jurisdiction Name,Maxium_density_allowed_(units/Acres),Total Capacity,Parcel_size(Acres),total people per parcel,AIN,CENTER_LAT,CENTER_LON
6322025021,HUNTINGTON PARK,70.0,9.0,0.2,17.099999999999998,6322025021,33.97426863,-118.2228447
6322024037,HUNTINGTON PARK,70.0,8.0,0.17,15.2,6322024037,33.9749091,-118.2247216
6322024042,HUNTINGTON PARK,70.0,8.0,0.17,15.2,6322024042,33.97468226,-118.2241738
6322024022,HUNTINGTON PARK,70.0,8.0,0.17,15.2,6322024022,33.97605639,-118.2241794
6322024002,HUNTINGTON PARK,70.0,9.0,0.2,17.099999999999998,6322024002,33.97657503,-118.2247263
6322024007,HUNTINGTON PARK,70.0,6.0,0.14,11.4,6322024007,33.97503378,-118.2247206
6322024031,HUNTINGTON PARK,70.0,7.0,0.16,13.3,6322024031,33.97543362,-118.2247227
6322023023,HUNTINGTON PARK,70.0,8.0,0.18,15.2,6322023023,33.9753374,-118.225618
6322023018,HUNTINGTON PARK,70.0,9.0,0.2,17.099999999999998,6322023018,33.97626619,-118.2256223
6322023019,HUNTINGTON PARK,70.0,6.0,0.14,11.4,6322023019,33.97613344,-118.2256211
6322023007,HUNTINGTON PARK,70.0,9.0,0.19,17.099999999999998,6322023007,33.975798,-118.2261679
6322023001,HUNTINGTON PARK,70.0,10.0,0.21,19.0,6322023001,33.97674226,-118.2261685
6322023008,HUNTINGTON PARK,70.0,9.0,0.2,17.099999999999998,6322023008,33.97564085,-118.2261679
6322018017,HUNTINGTON PARK,70.0,9.0,0.19,17.099999999999998,6322018017,33.9786289,-118.2256275
6322018016,HUNTINGTON PARK,70.0,9.0,0.2,17.099999999999998,6322018016,33.9787864,-118.2256278
6322016017,HUNTINGTON PARK,70.0,3.0,0.07,5.699999999999999,6322016017,33.97746343,-118.2231172
6322018031,HUNTINGTON PARK,70.0,48.0,0.98,91.2,6322018031,33.97816189,-118.2261719
6322018001,HUNTINGTON PARK,70.0,10.0,0.22,19.0,6322018001,33.97910065,-118.2261741
6322003019,HUNTINGTON PARK,70.0,8.0,0.18,15.2,6322003019,33.97968583,-118.225632
6322003013,HUNTINGTON PARK,70.0,9.0,0.2,17.099999999999998,6322003013,33.98049338,-118.225633
6322003017,HUNTINGTON PARK,70.0,9.0,0.2,17.099999999999998,6322003017,33.98001473,-118.2256322
6322003029,HUNTINGTON PARK,70.0,18.0,0.37,34.2,6322003029,33.9796169,-118.2261412
6320031020,HUNTINGTON PARK,70.0,8.0,0.17,15.2,6320031020,33.98203722,-118.2256333
6322017028,HUNTINGTON PARK,70.0,9.0,0.19,17.099999999999998,6322017028,33.97862434,-118.2247372
6322017005,HUNTINGTON PARK,70.0,9.0,0.2,17.099999999999998,6322017005,33.97847251,-118.2247362
6322017012,HUNTINGTON PARK,70.0,9.0,0.2,17.099999999999998,6322017012,33.97721603,-118.2247319
6322017008,HUNTINGTON PARK,70.0,9.0,0.19,17.099999999999998,6322017008,33.97784289,-118.2247352
6322017007,HUNTINGTON PARK,70.0,9.0,0.2,17.099999999999998,6322017007,33.97799798,-118.2247341
6322017030,HUNTINGTON PARK,70.0,20.0,0.41,38.0,6322017030,33.97885996,-118.2247378
6252021011,DOWNEY,8.0,3.0,0.1803457373,,6252021011,33.95114768,-118.1271144
6252021017,DOWNEY,8.0,6.0,0.41293815455,,6252021017,33.95081228,-118.1267116
6252021016,DOWNEY,8.0,6.0,0.41289557178,,6252021016,33.95102357,-118.1265581
8051001004,DOWNEY,8.0,38.0,2.34720650588,,8051001004,33.91117561,-118.1106943
6283024010,DOWNEY,24.0,62.0,2.63607727718,111.6,6283024010,33.91436202,-118.1144192
6229001005,DOWNEY,24.0,12.0,0.71603295774,21.6,6229001005,33.95955571,-118.1434953
6245016926,DOWNEY,100.0,0.0,13.105719226,0.0,6245016926,33.92372693,-118.1678732
6245016933,DOWNEY,100.0,0.0,10.8219722367,0.0,6245016933,33.9247501,-118.1649616
6245016935,DOWNEY,100.0,0.0,1.06788620629,0.0,6245016935,33.92526444,-118.1668138
6245016938,DOWNEY,100.0,0.0,0.09080009858,0.0,6245016938,33.92567342,-118.1678649
6245016913,DOWNEY,100.0,0.0,12.1470908045,0.0,6245016913,33.92608886,-118.1581917
6245016916,DOWNEY,100.0,0.0,0.025304389,0.0,6245016916,33.92730197,-118.1624003
6245016917,DOWNEY,100.0,0.0,4.92528365165,0.0,6245016917,33.92778054,-118.1613554
6245016927,DOWNEY,100.0,0.0,0.01129356028,0.0,6245016927,33.92521983,-118.168894
6245016936,DOWNEY,100.0,0.0,3.04065862085,0.0,6245016936,33.92379726,-118.1669482
6245016937,DOWNEY,100.0,0.0,3.04065862085,0.0,6245016937,33.92379726,-118.1669482
6245016939,DOWNEY,100.0,0.0,0.09080009858,0.0,6245016939,33.92567342,-118.1678649
6245016918,DOWNEY,100.0,0.0,0.13134786983,0.0,6245016918,33.92763723,-118.1621701
6245016929,DOWNEY,100.0,0.0,4.40190886282,0.0,6245016929,33.92703827,-118.1675705
6245016930,DOWNEY,100.0,0.0,27.5988285952,0.0,6245016930,33.92588026,-118.1637603
6245016931,DOWNEY,100.0,0.0,1.99454285702,0.0,6245016931,33.92683992,-118.163181
6245016001,DOWNEY,100.0,0.0,0.42066509506,0.0,6245016001,33.92558854,-118.1681132
6245016915,DOWNEY,100.0,0.0,9.25339079133,0.0,6245016915,33.92698101,-118.1606921
6245016934,DOWNEY,100.0,0.0,83.4332777325,0.0,6245016934,33.92275544,-118.1619491
6245016934,UNINCORPORATED LA COUNTY,100.0,2000.0,83.43327773,3800.0,6245016934,33.92275544,-118.1619491
