location,industrial,logistics,auto,retail,grocery,office,education,health,restaurants,public sector,entertainment,hotel,others,Latitude,Longitude
"Jefferson USC, Los Angeles (University Park)",1070,613,311,1066,429,1840,5832,2187,2013,626,828,213,1912,34.0218833,-118.2858666
"Lake, Pasadena",13,6,15,9,3,15,6,6,2,98,1,0,15,28.3280593,-82.2223069
"Lakewood Boulevard, Downey",676,466,165,1257,222,3002,2672,3627,1261,1174,167,34,531,33.9130799,-118.1406419
"LATTC Ortho Institute, Los Angeles (Historic South Central)",4459,3621,549,3446,645,2988,1785,1910,1166,258,194,26,1127,34.0291645,-118.2735701
"La Cienega Jefferson, Los Angeles (Baldwin Hills)",1671,1008,325,1659,126,4533,654,467,650,57,1704,27,798,34.0264383,-118.3725319
"Leimert Park, Los Angeles (Leimert Park)",339,230,124,860,192,1427,1549,936,768,258,135,2,1076,34.008441,-118.3314469
"Lincoln Cypress, Los Angeles (Lincoln Heights Cypress Park)",1084,464,129,674,239,599,602,124,364,139,126,0,397,34.0807497,-118.2207106
"Little Tokyo Arts District, Los Angeles (Little Tokyo)",8928,10258,244,8796,1227,53313,1622,4095,7962,18283,2797,2194,8031,34.0488626,-118.238748
"Long Beach Boulevard, Lynwood",1725,982,338,2120,274,1128,1281,609,994,752,32,29,651,33.9248873,-118.209968
"Maravilla, East Los Angeles",715,466,271,241,85,2795,1429,887,554,13851,54,19,549,34.0332976,-118.1681507
"Mariachi Plaza, Los Angeles (Boyle Heights)",1118,1629,157,1017,381,2686,1174,6188,1348,798,287,19,988,34.0474812,-118.2190832
"Mariposa, El Segundo",535,1111,60,313,52,1549,232,249,479,518,449,23,474,33.9232168,-118.387579
"Martin Luther King Jr., Los Angeles (Baldwin Hills Crenshaw)",598,327,122,1030,253,1965,1094,952,899,217,123,7,937,34.011257,-118.3357738
"Memorial Park, Pasadena",3446,2094,626,2899,792,24439,2593,25476,4789,5560,1138,809,3793,34.148477,-118.1474604
"North Hollywood, Los Angeles (North Hollywood)",1231,872,806,855,308,3523,1333,1018,1693,395,1642,99,1404,34.1649502,-118.3747521
"Norwalk, Norwalk",1362,906,397,718,199,2386,725,2672,1065,2842,243,175,644,41.1175966,-73.4078968
